epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,84.1613,1.43573,2.69509,2.15235,0.08874,0.17204,0.05226,0.02201,3.96176,3.31175,5.95944,0.000533064,0.000533064,0.000533064
68,85.3192,1.29003,2.54735,1.99859,0.08382,0.16129,0.05455,0.02313,4.00727,3.31153,5.96391,0.000506049,0.000506049,0.000506049
69,86.5052,1.22025,2.60306,1.998,0.07427,0.15054,0.04685,0.01996,4.03621,3.32691,5.99945,0.000479531,0.000479531,0.000479531
70,87.6843,1.27584,2.5607,2.00189,0.06482,0.17204,0.04484,0.01838,4.03694,3.35498,6.02844,0.000453537,0.000453537,0.000453537
71,89.2019,1.3673,2.53783,2.10258,0.06432,0.25806,0.04027,0.01689,3.99769,3.37548,6.07782,0.000428093,0.000428093,0.000428093
72,90.5013,1.3333,2.59243,2.03981,0.04658,0.37634,0.04168,0.01687,3.99347,3.36025,6.11013,0.000403222,0.000403222,0.000403222
73,91.6938,1.30888,2.52411,2.06515,0.06694,0.29032,0.05755,0.02433,3.99874,3.22914,6.18503,0.00037895,0.00037895,0.00037895
74,92.8937,1.25402,2.54733,1.95833,0.09072,0.34409,0.06859,0.02685,4.00001,3.18825,6.27156,0.000355301,0.000355301,0.000355301
75,94.1152,1.3237,2.52122,2.01996,0.09531,0.31183,0.09718,0.03312,4.01055,3.12366,6.42587,0.000332298,0.000332298,0.000332298
76,95.2587,1.19716,2.58475,1.90464,0.11175,0.27597,0.09984,0.03456,4.02187,3.07057,6.47847,0.000309964,0.000309964,0.000309964
77,96.4253,1.40262,2.4644,2.08155,0.10583,0.2043,0.07866,0.03419,4.01744,3.01498,6.51642,0.000288321,0.000288321,0.000288321
78,97.5862,1.38471,2.37318,2.04175,0.13166,0.19355,0.08275,0.03473,4.01184,2.99508,6.48261,0.00026739,0.00026739,0.00026739
79,98.8594,1.21736,2.46585,1.9358,0.18854,0.19355,0.11451,0.04167,4.00435,2.95923,6.43844,0.000247192,0.000247192,0.000247192
80,164.638,1.23997,2.45812,1.9353,0.17748,0.19355,0.12711,0.04704,4.00092,2.97799,6.42941,0.000227747,0.000227747,0.000227747
81,166.234,1.17611,2.51139,1.93308,0.22505,0.19355,0.13981,0.04742,4.01375,3.01373,6.3914,0.000209073,0.000209073,0.000209073
82,167.478,1.25329,2.67323,1.95867,0.27064,0.19355,0.14545,0.0489,4.02003,3.03049,6.39908,0.00019119,0.00019119,0.00019119
83,168.813,1.15974,2.38914,1.8823,0.26132,0.17204,0.13879,0.04607,4.02831,3.06034,6.45104,0.000174115,0.000174115,0.000174115
84,170.086,1.26448,2.37766,1.98992,0.25676,0.17204,0.13541,0.04489,4.04218,3.05881,6.47668,0.000157865,0.000157865,0.000157865
85,171.486,1.23641,2.49003,1.93485,0.18799,0.17204,0.11664,0.03999,4.04863,3.05103,6.52781,0.000142456,0.000142456,0.000142456
86,172.695,1.24354,2.40296,1.93946,0.18139,0.16129,0.1142,0.04015,4.05448,3.03801,6.52149,0.000127904,0.000127904,0.000127904
