epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,106.285,1.24324,3.20024,1.84556,0.03117,0.45029,0.08695,0.04833,4.33493,3.61894,6.01888,2.62846e-05,2.62846e-05,2.62846e-05
85,107.529,1.25313,3.36681,1.85139,0.03113,0.45029,0.08897,0.04889,4.35409,3.62347,6.02721,2.3719e-05,2.3719e-05,2.3719e-05
86,108.76,1.1675,2.97637,1.80902,0.03724,0.47661,0.09257,0.05131,4.36282,3.62852,6.04008,2.12959e-05,2.12959e-05,2.12959e-05
87,110.159,1.23967,3.13482,1.83503,0.03838,0.47661,0.08835,0.04887,4.38525,3.62106,6.01861,1.90178e-05,1.90178e-05,1.90178e-05
88,111.486,1.09564,3.14488,1.7488,0.03674,0.46345,0.08489,0.04757,4.38669,3.60965,6.01193,1.68869e-05,1.68869e-05,1.68869e-05
89,112.712,1.20589,3.15828,1.80084,0.02954,0.4174,0.07819,0.04361,4.41937,3.61334,6.03744,1.49053e-05,1.49053e-05,1.49053e-05
90,113.868,1.15659,3.18581,1.75748,0.03115,0.40424,0.07935,0.04508,4.42397,3.62135,6.03413,1.30749e-05,1.30749e-05,1.30749e-05
91,190.396,0.91576,3.7237,1.55266,0.03079,0.39672,0.07694,0.0435,4.44589,3.62585,6.01266,1.13976e-05,1.13976e-05,1.13976e-05
92,191.913,0.86561,3.52516,1.52887,0.03616,0.42304,0.0829,0.04663,4.46866,3.66806,6.00756,9.87499e-06,9.87499e-06,9.87499e-06
93,193.109,0.85039,3.42486,1.50964,0.03372,0.41719,0.07953,0.04347,4.46876,3.6973,5.99541,8.50859e-06,8.50859e-06,8.50859e-06
94,194.374,0.98086,3.48093,1.62206,0.03268,0.41134,0.07636,0.042,4.46515,3.6995,5.97088,7.29976e-06,7.29976e-06,7.29976e-06
95,195.593,0.92414,3.49569,1.51148,0.03254,0.4104,0.07728,0.04258,4.45503,3.69996,5.93513,6.24968e-06,6.24968e-06,6.24968e-06
96,196.814,0.89607,3.44243,1.55798,0.03229,0.4104,0.0771,0.0425,4.45235,3.69991,5.91238,5.35939e-06,5.35939e-06,5.35939e-06
97,198.067,0.87229,3.46776,1.57203,0.0314,0.4104,0.07844,0.0431,4.44673,3.73042,5.89097,4.62977e-06,4.62977e-06,4.62977e-06
98,199.306,0.95079,3.47123,1.57067,0.03081,0.4104,0.07824,0.04252,4.47854,3.74142,5.92102,4.06154e-06,4.06154e-06,4.06154e-06
99,200.508,1.00191,3.7161,1.60447,0.03046,0.41625,0.08013,0.04307,4.47852,3.76276,5.89865,3.65526e-06,3.65526e-06,3.65526e-06
100,201.682,0.74444,3.57943,1.42394,0.02888,0.41625,0.07958,0.04224,4.47783,3.76859,5.8854,3.41134e-06,3.41134e-06,3.41134e-06
